code_18,libelle,couleur,coef_mellifere,coeff_pollinifere,semaines_production,mois_production,notes
111,Tissu urbain continu,#E6004D,,,,,
112,Tissu urbain discontinu,#FF0000,,,,,
121,Zones industrielles ou commerciales et installations publiques,#CC4DD2,,,,,
122,Réseaux routier et ferroviaire et espaces associés,#CC0000,,,,,
123,Zones portuaires,#E6CCCC,,,,,
124,Aéroports,#E6CCE6,,,,,
131,Extraction de matériaux,#A600CC,,,,,
132,Décharges,#A64D00,,,,,
133,Chantiers,#FF4DFF,,,,,
141,Espaces verts urbains,#FFA6FF,,,,,
142,Equipements sportifs et de loisirs,#FFE6FF,,,,,
211,Terres arables hors périmètres d'irrigation,#FFFFA8,,,,,
212,Périmètres irrigués en permanence,#FFFF00,,,,,
213,Rizières,#E6E600,,,,,
221,Vignobles,#E68000,,,,,
222,Vergers et petits fruits,#F2A64D,,,,,
223,Oliveraies,#E6A600,,,,,
231,Prairies et autres surfaces toujours en herbe à usage agricole,#E6E64D,,,,,
241,Cultures annuelles associées à des cultures permanentes,#FFE6A6,,,,,
242,Systèmes culturaux et parcellaires complexes,#FFE64D,,,,,
243,"Surfaces essentiellement agricoles, interrompues par des espaces naturels importants",#E6CC4D,,,,,
244,Territoires agroforestiers,#F2CC A6,,,,,
311,Forêts de feuillus,#80FF00,,,,,
312,Forêts de conifères,#001A00,,,,,
313,Forêts mélangées,#4DFF00,,,,,
321,Pelouses et pâturages naturels,#CCF247,,,,,
322,Landes et broussailles,#A6FF80,,,,,
323,Végétation sclérophylle,#A6E64D,,,,,
324,Forêt et végétation arbustive en mutation,#A6F200,,,,,
331,"Plages, dunes et sable",#E6E6E6,,,,,
332,Roches nues,#CCCCCC,,,,,
333,Végétation clairsemée,#CCFFCC,,,,,
334,Zones incendiées,#000000,,,,,
335,Glaciers et neiges éternelles,#A6E6CC,,,,,
411,Marais intérieurs,#A6A6FF,,,,,
412,Tourbières,#4D4DFF,,,,,
421,Marais maritimes,#CCCCFF,,,,,
422,Marais salants,#E6E6FF,,,,,
423,Zones intertidales,#A6A6E6,,,,,
511,Cours et voies d'eau,#00CCF2,,,,,
512,Plans d'eau,#80F2E6,,,,,
521,Lagunes littorales,#00FFA6,,,,,
522,Estuaires,#A6FFE6,,,,,
523,Mers et océans,#E6F2FF,,,,,
