code,libelle,code_groupe,libelle_groupe,color
AVH,Avoine d'hiver,4,Autres céréales,#daeb00
AVP,Avoine de printemps,4,Autres céréales,#daeb00
BDH,Blé dur d'hiver,4,Autres céréales,#daeb00
BDP,Blé dur de printemps,4,Autres céréales,#daeb00
BDT,Blé dur de printemps semé tardivement (après le 31/05),4,Autres céréales,#daeb00
CAG,"Autre céréale ou pseudo-céréale secondaire de printemps (alpiste, quinoa, chia, ...)",4,Autres céréales,#daeb00
CAH,Autre céréale ou pseudo-céréale secondaire d'hiver,4,Autres céréales,#daeb00
CGF,Autre céréale de genre Fagopyrum,4,Autres céréales,#daeb00
CGH,Autre céréale de genre Phalaris,4,Autres céréales,#daeb00
CGO,Autre céréale de genre Sorghum,4,Autres céréales,#daeb00
CGP,Autre céréale de genre Panicum,4,Autres céréales,#daeb00
CGS,Autre céréale de genre Setaria,4,Autres céréales,#daeb00
CHA,Autre céréale d'hiver de genre Avena,4,Autres céréales,#daeb00
CHH,Autre céréale d'hiver de genre Hordeum,4,Autres céréales,#daeb00
CHS,Autre céréale d'hiver de genre Secale,4,Autres céréales,#daeb00
CHT,Autre céréale d'hiver de genre Triticum,4,Autres céréales,#daeb00
CPA,Autre céréale de printemps de genre Avena,4,Autres céréales,#daeb00
CPH,Autre céréale de printemps de genre Hordeum,4,Autres céréales,#daeb00
CPS,Autre céréale de printemps de genre Secale,4,Autres céréales,#daeb00
CPT,Autre céréale de printemps de genre Triticum,4,Autres céréales,#daeb00
CPZ,Autre céréale de printemps de genre Zea,4,Autres céréales,#daeb00
EPE,Epeautre (petit épeautre ou engrain et grand épeautre),4,Autres céréales,#daeb00
MCR,Mélange de céréales ou pseudo-céréales d'hiver entre elles,4,Autres céréales,#daeb00
MCS,Mélange de céréales ou pseudo-céréales de printemps entre elles,4,Autres céréales,#daeb00
MLT,Millet,4,Autres céréales,#daeb00
SGH,Seigle d'hiver,4,Autres céréales,#daeb00
SGP,Seigle de printemps,4,Autres céréales,#daeb00
SOG,Sorgho,4,Autres céréales,#daeb00
SRS,Sarrasin,4,Autres céréales,#daeb00
TTH,Triticale d'hiver,4,Autres céréales,#daeb00
TTP,Triticale de printemps,4,Autres céréales,#daeb00
AAR,Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil,24,Autres cultures industrielles,#008081
AME,Plantes médicinales et à parfum non pérennes (< 5 ans),24,Autres cultures industrielles,#008081
ANE,Aneth,24,Autres cultures industrielles,#008081
ANG,Angélique,24,Autres cultures industrielles,#008081
ANI,Anis,24,Autres cultures industrielles,#008081
ARP,Plante aromatique pérenne non arbustive ou arborée autre que la vanille,24,Autres cultures industrielles,#008081
BAR,Bardane,24,Autres cultures industrielles,#008081
BAS,Basilic,24,Autres cultures industrielles,#008081
BRH,Bourrache de 5 ans ou moins,24,Autres cultures industrielles,#008081
BTN,Betterave,24,Autres cultures industrielles,#008081
CAV,Carvi,24,Autres cultures industrielles,#008081
CHR,Chardon Marie,24,Autres cultures industrielles,#008081
CIB,Ciboulette,24,Autres cultures industrielles,#008081
CML,Cameline,24,Autres cultures industrielles,#008081
CMM,Camomille,24,Autres cultures industrielles,#008081
CRD,Coriandre,24,Autres cultures industrielles,#008081
CRF,Cerfeuil,24,Autres cultures industrielles,#008081
CUM,Cumin,24,Autres cultures industrielles,#008081
CUR,Curcuma,24,Autres cultures industrielles,#008081
EST,Estragon,24,Autres cultures industrielles,#008081
FNO,Fenouil,24,Autres cultures industrielles,#008081
FNU,Fenugrec,24,Autres cultures industrielles,#008081
HBL,Houblon,24,Autres cultures industrielles,#008081
LAV,Lavande et lavandin,24,Autres cultures industrielles,#008081
MAV,Mauve,24,Autres cultures industrielles,#008081
MLI,Mélisse,24,Autres cultures industrielles,#008081
MLP,Millepertuis,24,Autres cultures industrielles,#008081
MOT,Moutarde d'hiver,24,Autres cultures industrielles,#008081
MRJ,Marjolaine / Origan,24,Autres cultures industrielles,#008081
MTH,Menthe,24,Autres cultures industrielles,#008081
ORT,Ortie,24,Autres cultures industrielles,#008081
OSE,Oseille,24,Autres cultures industrielles,#008081
PAR,Plante aromatique (autre que vanille),24,Autres cultures industrielles,#008081
PMD,Plante médicinale,24,Autres cultures industrielles,#008081
PME,Plantes médicinales pérennes (autres que arbres),25,Autres cultures industrielles,#008081
PPA,Autre plante à parfum,24,Autres cultures industrielles,#008081
PPF,Plante à parfum (autre que géranium et vétiver),24,Autres cultures industrielles,#008081
PPP,Plantes médicinales pérennes (arbres ou arbustes) sauf cassis,24,Autres cultures industrielles,#008081
PRF,Plantes à parfum pérennes autres que lavande et lavandin,24,Autres cultures industrielles,#008081
PSL,Persil,24,Autres cultures industrielles,#008081
PSN,Psyllium noir de Provence,24,Autres cultures industrielles,#008081
PSY,Plantain psyllium,24,Autres cultures industrielles,#008081
ROM,Romarin,24,Autres cultures industrielles,#008081
SGE,Sauge,24,Autres cultures industrielles,#008081
SRI,Sarriette,24,Autres cultures industrielles,#008081
TAB,Tabac,24,Autres cultures industrielles,#008081
THY,Thym,24,Autres cultures industrielles,#008081
TOT,Tomate pour transformation,24,Autres cultures industrielles,#008081
VAL,Valériane,24,Autres cultures industrielles,#008081
VNB,Vanille sous bois,24,Autres cultures industrielles,#008081
VNL,Vanille,24,Autres cultures industrielles,#008081
VNV,Vanille verte,24,Autres cultures industrielles,#008081
YLA,Ylang-ylang,24,Autres cultures industrielles,#008081
ARA,Arachide,7,Autres oléagineux,#fdc101
LIH,Lin non textile d'hiver,7,Autres oléagineux,#fdc101
LIP,Lin non textile de printemps,7,Autres oléagineux,#fdc101
MOL,Mélange d'oléagineux,7,Autres oléagineux,#fdc101
NVE,Navette d'été,7,Autres oléagineux,#fdc101
